"ConstituentID","DisplayName","ArtistBio","Nationality","Gender","BeginDate","EndDate","Wiki QID","ULAN"
"5305","Sean Scully","American, born Ireland 1945","American","Male","1945","0","Q535343","500025169.0"
"69799","Robert Opron","French, born 1932","French","Male","1932","0","",""
"36415","Beatriz González","Colombian, born 1938","Colombian","Female","1938","0","",""
"6124","Bram van Velde","Dutch, 1895–1981","Dutch","Male","1895","1981","",""
"31304","Martine Aballea","American, born 1950","","Female","1950","0","",""
"75674","Alexander Balagin","Russian","Russian","Male","0","0","",""
"9356","Hats Incredible, Inc., Braintree, MA","","","","0","0","",""
"10783","Heifetz Mfg. Co., New York, NY","","","","0","0","",""
"28192","Paul-Armand Gette","French, born 1927","French","Male","1927","0","",""
"11003","Victorinox","Swiss, est 1884","Swiss","","1884","0","",""
"78","Aftograf","Russian","Russian","","0","0","",""
"6426","Marion Post Wolcott","American, 1910–1990","American","Female","1910","1990","Q436687","500002522.0"
"34853","Jane Veeder","American, born 1944","American","Female","1944","0","",""
"5268","Karl Schrag","American, 1912–1995","American","Male","1912","1995","",""
"31732","Christoph Ruckhäberle","German, born 1972","German","Male","1972","0","",""
"38045","Brooks Williams","American, born 1958","American","","1958","0","",""
"4880","Paul Revel","French, 1922–1983","French","Male","1922","1983","",""
"6419","Ben Wittick","American, 1845–1903","American","Male","1845","1903","",""
"4100","Malcolm Morley","American, born Great Britain. 1931–2018","American","Male","1931","2018","Q316667","500030391.0"
"22585","Electrotextiles Co. (now ElekSen Ltd.), England","","","","0","0","",""
"3074","Jon Kessler","American, born 1957","American","Male","1957","0","Q6271047","500099368.0"
"10364","Stockmann-Orno, Finland","","","","0","0","",""
"47102","The Propeller Group","Vietnam, est. 2006","","","2006","0","",""
"9399","Zenith Radio Corporation, Chicago, IL","est. 1923","","","1923","0","",""
"24147","The Decorative Arts Institute","","","","0","0","",""
"10667","Industrie Formenti Italia, Milan","","","","0","0","",""
"768","André Breton","French, 1896–1966","French","Male","1896","1966","Q161955","500125870.0"
"132719","Dalton Paula","Brazilian, born 1982","Brazilian","","1982","0","",""
"74006","Paul Magès","French, 1908–1999","French","Male","1908","1999","",""
"4344","Thomas Nozkowski","American, 1944–2019","American","Male","1944","2019","",""
"2062","Christina Galvez","Peruvian, 1918–1982","Peruvian","Female","1918","1982","",""
"6951","Elizabeth Diller","American, born Poland 1954","American","Female","1954","0","Q1225543","500029001.0"
"13422","Columbia Records","founded 1888","","","1888","0","",""
"5664","Alfred Stieglitz","American, 1864–1946","American","Male","1864","1946","Q313055","500024301.0"
"26444","Cedric Buchet","Danish and French, born France 1974","Danish","Male","1974","0","",""
"38041","François Dufrêne","French, 1930–1982","French","Male","1930","1982","",""
"30899","Jimmie Durham","American, born 1940","American","Male","1940","0","",""
"42882","Jim Downie","","","","0","0","",""
"3122","Fumio Kitaoka","Japanese, 1918–2007","Japanese","Male","1918","2007","",""
"6490","Sori Yanagi","Japanese, 1915–2011","Japanese","Male","1915","2011","Q181996","500126289.0"
"3240","Lee Krasner","American, 1908–1984","American","Female","1908","1984","Q237959","500010144.0"
"3302","František Kupka","Czech, 1871–1957","Czech","Male","1871","1957","Q167414","500006023.0"
"32286","Tom Kalin","American, born 1962","American","Male","1962","0","Q447005",""
"9777","Amefa Alpeldoornse, Apeldoorne, The Netherlands","established 1931","","","1931","0","",""
"3531","Jay Leyda","American, 1910–1988","American","Male","1910","1988","",""
"10039","Raymar Industries, Inc., New York, NY","","","","0","0","",""
"28988","Marbek","UK","British","","0","0","",""
"44249","Dennis Johnson","American","American","","0","0","",""
"27025","ACCO Brands, Inc., USA","","American","","0","0","",""
"11077","Swedlow Aeroplastics Corp.","","","","0","0","",""
"75339","Jakob Senneby","","","Male","0","0","",""
"5127","John Salt","British, born 1937","British","Male","1937","0","Q1701673","500020879.0"
"28568","Monica Bonvicini","Italian, born 1965","Italian","Female","1965","0","Q460233","500336376.0"
"9348","Evans Products Co., Molded Plywood Div., Venice, CA","","","","0","0","",""
"9952","Schwintzer & Gräff, Berlin","","","","0","0","",""
"5785","Jiro Takamatsu","Japanese, 1936–1998","Japanese","Male","1936","1998","Q11670443","500123782.0"
"4358","Pablo O'Higgins","American, 1904–1983","American","Male","1904","1983","Q1599655","500062848.0"
"9641","Vitra International AG","","","","0","0","",""
"33071","Moooi","","","","0","0","",""
"47512","Cindy Bernard","American, born 1959","American","Female","1959","0","",""
"4257","George Nelson","American, 1908–1986","American","Male","1908","1986","Q1507993","500017574.0"
"45674","Colin Griffiths","","","","0","0","",""
"28889","Charles Dudley Arnold","Canadian, 1844–1927","Canadian","Male","1844","1927","",""
"13012","Aleksei Gan","Russian, 1889–1942","Russian","Male","1889","1942","",""
"9347","J. & L. Lobmeyr, Vienna","","","","0","0","",""
"8215","Venturi, Rauch and Scott Brown","American, established 1980","American","","1980","0","",""
"8085","Sari Dienes","American, born Hungary. 1898–1992","American","Female","1898","1992","Q16012873","500084847.0"
"8238","Franz Wilhelm Seiwert","German, 1894–1933","German","Male","1894","1933","Q89311","500017381.0"
"9780","Porzellanfabrik, Arzberg, Germany","","","","0","0","",""
"1537","Preston Dickinson","American, 1889–1930","American","Male","1889","1930","Q3402687","500124280.0"
"911","Deborah Fleming Caffery","American, born 1948","American","Female","1948","0","",""
"7494","Sue Williams","American, born 1954","American","Female","1954","0","Q2363416","500114754.0"
"44922","Jimmy Alcock","Venezuelan, born 1932","Venezuelan","Male","1932","0","",""
"2780","Terry Husebye","American, born 1945","American","Male","1945","0","",""
"33370","Christopher Blizzard","American, born 1973","American","","1973","0","",""
"28714","Lucy McKenzie","British, born 1977","British","Female","1977","0","Q4275768",""
"6815","Jimmy DeSana","American, 1950–1990","American","Male","1950","1990","Q6199963","500094230.0"
"540","Joseph Beuys","German, 1921–1986","German","Male","1921","1986","Q153965","500024607.0"
"7189","Roberto Lucci","Italian","Italian","Male","0","0","",""
"9800","Carrollton Metal Products Company, Carrollton, OH","","","","0","0","",""
"2133","Gershen-Newark","American","American","","0","0","",""
"1444","Niki de Saint Phalle","French and American, 1930–2002","French","Female","1930","2002","Q168704","500024269.0"
"8558","Auguste Adolphe Bertsch","French, died 1871","French","Male","0","1871","",""
"27","Erik Gunnar Asplund","Swedish, 1885–1940","Swedish","Male","1885","1940","Q312070","500011232.0"
