"ConstituentID","DisplayName","ArtistBio","Nationality","Gender","BeginDate","EndDate","Wiki QID","ULAN"
"6633","Ilya Kabakov","American, born Russia 1933","American","Male","1933","0","Q699736","500115870.0"
"7472","Gordon Cook","American, 1927–1985","American","Male","1927","1985","",""
"28840","Lesley Vance","American, born 1977","American","Female","1977","0","",""
"31057","Ernst Strouhal","","","Male","0","0","",""
"7974","Ivan Shagin","Russian, 1904–1982","Russian","Male","1904","1982","",""
"42639","Daniel Baranowsky","American, born 1984","American","Male","1984","0","",""
"4415","Dennis Oppenheim","American, 1938–2011","American","Male","1938","2011","Q439856","500011050.0"
"47415","Rick Mann","British, born 1954","British","Male","1954","0","",""
"70015","Ram Rahman","Indian, born 1955","Indian","Male","1955","0","",""
"5441","Charles Simonds","American, born 1945","American","Male","1945","0","Q17559997",""
"40336","Mimi Shevitz","","","Female","0","0","",""
"6440","Gross Wood","American, born 1919","American","Male","1919","0","",""
"5980","Benjamin Brecknell Turner","British, 1815–1894","British","Male","1815","1894","Q4888327","500037129.0"
"4822","William H. Rau","American, 1855–1920","American","Male","1855","1920","Q8010564","500013054.0"
"2097","Henri Gaudier-Brzeska","French, 1891–1915","French","Male","1891","1915","Q926308","500115741.0"
"47303","Tom Hingston","British","British","Male","0","0","",""
"30733","Conrad Botes","South African, born 1969","South African","Male","1969","0","",""
"5220","John Schlesinger","American, born 1954","American","Male","1954","0","",""
"3349","Wifredo Lam","Cuban, 1902–1982","Cuban","Male","1902","1982","Q465342","500006317.0"
"38858","Deana Lawson","American, born 1979","American","Female","1979","0","",""
"7696","Nicholas Grimshaw","British, born 1939","British","Male","1939","0","",""
"31697","Nina Bovasso","American, born 1965","American","Female","1965","0","",""
"6698","Ch Huard","Nationality unknown","Nationality unknown","","0","0","",""
"1224","Constant (Constant Anton Nieuwenhuys)","Dutch, 1920–2005","Dutch","Male","1920","2005","",""
"4697","V. Lorenzo Porcelli","American, born 1933","American","","1933","0","",""
"47991","Henry Kluck","American, 1922–2007","American","Male","1922","2007","",""
"37558","Nordiska Kompaniet Textilkammare, Stockholm","","","","0","0","",""
"2922","Jiří John","Czech, 1923–1972","Czech","Male","1923","1972","",""
"3698","Gaspard Maillol","French, 1880–1945","French","Male","1880","1945","",""
"30074","Adi Rosenblum","Israeli, born 1962","Israeli","Female","1962","0","",""
"37621","Jan Tichy","Israeli, born Czech Republic 1974","Israeli","Male","1974","0","",""
"35152","Cao Guimarães","Brazilian, born 1965","Brazilian","Male","1965","0","",""
"8702","Paolo Orlandini","Italian","Italian","Male","0","0","",""
