"ConstituentID","DisplayName","ArtistBio","Nationality","Gender","BeginDate","EndDate","Wiki QID","ULAN"
"72286","Teresa Margolles","Mexican, born 1963","Mexican","Female","1963","0","",""
"3436","David Leach","American, born 1946","American","Male","1946","0","",""
"1629","Maxime Du Camp","French, 1822–1894","French","Male","1822","1894","Q918268","500021954.0"
"47235","Ecovative","","","","0","0","",""
"40517","Anthony Cox","American","American","","0","0","",""
"43108","Per Olof Ultvedt","Finnish, 1927–2006","Finnish","Male","1927","2006","",""
"74","Roy Adzak","British, 1927–1987","British","Male","1927","1987","Q3445734","500032997.0"
"6750","Rachel Kemper","Nationality unknown","Nationality unknown","Female","0","0","",""
"2637","Dick Higgins","American, born England. 1938–1998","American","Male","1938","1998","Q1209700","500034921.0"
"999","Paul Carter","American, 1903–1938","American","Male","1903","1938","",""
"913","Corrado Cagli","Italian, 1910–1976","Italian","Male","1910","1976","Q2997862","500004817.0"
"28828","Tony Swain","British, born 1967","British","Male","1967","0","",""
"26470","Alejandro Ruiz","Argentine, born 1958","Argentine","Male","1958","0","",""
"756","George Brecht","American, 1926–2008","American","Male","1926","2008","Q686321","500045721.0"
"47913","Electroninks","","","","0","0","",""
"8503","Alex Anderson/The New York Times","Nationality unknown","Nationality unknown","Male","0","0","",""
"873","Daniel Buren","French, born 1938","French","Male","1938","0","Q593621","500033028.0"
"3110","Darius Kinsey","American, 1869–1945","American","Male","1869","1945","Q902064","500022282.0"
"41212","Taryn Simon","American, born 1975","American","Female","1975","0","Q534385",""
"7878","Paul Heald","American","American","Male","0","0","",""
"4398","Elizabeth Olds","American, 1897–1991","American","Female","1897","1991","Q5363286","500018141.0"
"4121","Ed Moses","American, 1926–2018","American","Male","1926","2018","Q1293064","500015112.0"
"75675","Georgi Zelondzhev-Shipov","Russian","Russian","Male","0","0","",""
"5350","Daniel Serra-Badué","Cuban, 1914–1996","Cuban","Male","1914","1996","",""
"24184","Various Unknown Artists","","","","0","0","",""
"8540","Fotograms","","","","0","0","",""
"43822","Agustín Hernández Navarro","Mexican, born 1924","Mexican","Male","1924","0","",""
"38901","Adam Pendleton","American, born 1984","American","Male","1984","0","",""
"4436","Osawa Gakyū","Japanese, 1890–1953","Japanese","Male","1890","1953","Q11547471",""
"8476","Varvara Rodchenko","Russian, 1925–2019","Russian","Female","1925","2019","",""
"5892","Francisco Toledo","Mexican, 1940–2019","Mexican","Male","1940","2019","Q1351374","500005528.0"
"35380","A. Lawrence Kocher","American, 1885–1969","American","Male","1885","1969","",""
"30968","Hans Küng","Swiss, 1928","Swiss","Male","1928","0","",""
"4739","Stephen Prina","American, born 1954","American","Male","1954","0","Q1682539","500073908.0"
"25817","Walter Hopps","","","Male","0","0","",""
"24391","M. Kraian","","","","0","0","",""
"1427","Georges de Feure","French, 1868–1943","French","Male","1868","1943","",""
"5346","Keisuke Serizawa","Japanese, 1895–1984","Japanese","Male","1895","1984","",""
"26983","Otto Wichterle","Czech, 1913–1998","Czech","Male","1913","1998","Q730128",""
"3455","Russell Lee","American, 1903–1986","American","Male","1903","1986","Q230673","500007674.0"
"6351","Jack Whitten","American, 1939–2018","American","Male","1939","2018","Q6115781","500077661.0"
"5454","David Alfaro Siqueiros","Mexican, 1896–1974","Mexican","Male","1896","1974","Q315647","500008908.0"
"23540","Vadim Falileev","","","Male","0","0","",""
"70020","Mark Wheaton","","","Male","0","0","",""
"74778","Yury Tsirulnikov","Russian","Russian","Male","0","0","",""
"11181","Lorraine Metal Mfg. Co., NY","1868–1954","American","","1868","1954","",""
"5418","Siegriest","American","American","","0","0","",""
"6414","Benno Wissing","Dutch, 1923–2008","Dutch","Male","1923","2008","",""
"6080","Jay Van Everen","American, 1875–1947","American","Male","1875","1947","",""
"591","Jeffrey Blake","American, born 1954","American","Male","1954","0","",""
"22565","Snowcrash AB, Sweden","","","","0","0","",""
"8142","Wilhelm Ebentreich","German, born 1952","German","Male","1952","0","",""
"11176","Richard Schultz Design, Palm, PA","","","","0","0","",""
"9029","Fuso Gomu Ind. Co., Ltd., Tokyo","","","","0","0","",""
"42749","Annee Olofsson","Swedish, born 1966","Swedish","Female","1966","0","",""
