"ConstituentID","DisplayName","ArtistBio","Nationality","Gender","BeginDate","EndDate","Wiki QID","ULAN"
"39361","Gloria Caranica","American, born 1931","American","","1931","0","",""
"8836","Juan Herreros","Spanish, born 1958","Spanish","Male","1958","0","",""
"7160","Geoffrey James","Canadian, born Wales 1942","Canadian","Male","1942","0","",""
"43687","Vitale Bramani","Italian, 1900–1970","Italian","Male","1900","1970","",""
"38961","Kiyoji Otsuji","Japanese, 1923–2001","Japanese","Male","1923","2001","Q5972607","500125486.0"
"67510","Judy Linn","American, born 1947","American","Female","1947","0","",""
"8126","Julian Opie","British, born 1958","British","Male","1958","0","Q451564","500053934.0"
"5119","Ben Sakoguchi","American, born 1938","American","Male","1938","0","",""
"2219","Morton Goldsholl","American, 1911–1995","American","Male","1911","1995","",""
"14137","Ben Langlands","British, born 1955","British","Male","1955","0","",""
"10935","Sonic Sports, Inc., Los Angeles, CA","","","","0","0","",""
"41472","Peter Stathis","American, born 1960","American","Male","1960","0","",""
"30997","Christian Philipp Müller","Swiss, born 1957","Swiss","Male","1957","0","",""
"2240","Sidney Goodman","American, 1936–2013","American","Male","1936","2013","","500003432.0"
"7099","Sabrina Jones","American, born 1960","American","Female","1960","0","",""
"1426","Francis De Erdely","Hungarian","Hungarian","Male","0","0","",""
"24247","Aleksandr Deneika","","","Male","0","0","",""
"3944","Bogdan-Kiar Mesko","Yugoslav","Yugoslav","Male","0","0","",""
"10485","Studio DA, Japan","","","","0","0","",""
"39192","Manon de Boer","Dutch, born 1966","Dutch","Female","1966","0","",""
"6481","Yamaguchi Gen","Japanese, 1896–1976","Japanese","Male","1896","1976","Q11466945","500333874.0"
"27946","Clean Call","USA, est. 1995","American","","1995","0","",""
"3549","Jerome Liebling","American, 1924–2011","American","Male","1924","2011","Q15462930","500126037.0"
"5082","Margit Ruoff","German, born 1937","German","Female","1937","0","",""
"1432","Regina Maria De Luise","American, born 1959","American","Female","1959","0","",""
"28326","Caleb Crye","American, born 1975","American","Male","1975","0","",""
"47604","Gregg Wager","American, born 1958","American","","1958","0","",""
"37669","Lino Manfrotto","Italian, born 1936","Italian","Male","1936","0","",""
"28209","Ted Muehling","American, born 1953","American","Male","1953","0","",""
"1793","Jules-Abel Faivre","French, 1867–1945","French","Male","1867","1945","Q2821502","500042434.0"
"25430","Jason Middlebrook","American, born 1966","American","Male","1966","0","",""
"63994","John Smith","British, born 1952","British","Male","1952","0","",""
"7065","Kyoko Kumai","Japanese, born 1943","Japanese","Female","1943","0","",""
"37256","Glenn Branca","American, born 1948","American","","1948","0","",""
"10522","Anonima Castelli, Bologna, Italy","","","","0","0","",""
"3028","Kawakami Sumio","Japanese, 1895–1972","Japanese","Male","1895","1972","",""
"22892","Carlos Leão","","","Male","0","0","",""
"1408","James Edward Davis","American, 1901–1974","American","Male","1901","1974","",""
"498","Paul Bergtold","American, born 1942","American","Male","1942","0","",""
"6139","Aleksandr Vesnin","Russian, 1883–1959","Russian","Male","1883","1959","Q2834123","500019128.0"
"35557","Lu Chunsheng","Chinese, born 1966","Chinese","Female","1966","0","",""
"10009","New City Editions, Venice, CA","","","","0","0","",""
"1225","George Constant","American, 1892–1978","American","Male","1892","1978","",""
"301","Gerard Baksteen","Dutch, 1887–1976","Dutch","Male","1887","1976","",""
"74154","Aluminium Menziken und Gontenschwil A.G., Zürich","","Swiss","","0","0","",""
"48099","Junya Ishigami","Japanese, born 1974","Japanese","","1974","0","",""
"2726","Edward Hopper","American, 1882–1967","American","Male","1882","1967","Q203401","500031212.0"
"7344","Dorothy Liebes","American, 1899–1972","American","Female","1899","1972","Q5298510",""
"45542","Leonardo Finotti","Brazilian, born 1977","Brazilian","Male","1977","0","",""
"42490","Diane Lewis","American, 1951–2017","American","Female","1951","2017","",""
"10160","Gedy S.p.A., Milan","","","","0","0","",""
"3562","Leo Lionni","American, born Amsterdam. 1910–1999","American","Male","1910","1999","Q964731","500062091.0"
"9454","Unknown British Manufacturer, England","","British","","0","0","",""
"7573","Helmut Swiczinsky","Polish, born 1944","Polish","Male","1944","0","",""
"6467","Lance Wyman","American, born 1937","American","Male","1937","0","Q9020185","500012137.0"
"6039","Graziella Urbinati","Italian, born 1927","Italian","Female","1927","0","",""
"46527","Mark McKeague","Irish, born 1989","Irish","Male","1989","0","",""
"1803","Farfa","Italian, 1881–1964","Italian","Male","1881","1964","",""
"6502","Tadanori Yokoo","Japanese, born 1936","Japanese","Male","1936","0","Q3513688","500060125.0"
